Country Name,Continent Name,Country_Avg_GDP_Per_Capita,World_Avg_GDP_Per_Capita,Above_World_Avg,Continent_Country_ID
Algeria,Africa,3824.243132,15336.27322,0,1
Angola,Africa,2620.868878,15336.27322,0,2
Benin,Africa,997.7519129,15336.27322,0,3
Botswana,Africa,5684.349961,15336.27322,0,4
Burkina Faso,Africa,606.403366,15336.27322,0,5
Burundi,Africa,201.1422712,15336.27322,0,6
Cabo Verde,Africa,3005.874216,15336.27322,0,7
Cameroon,Africa,1328.84033,15336.27322,0,8
Central African Republic,Africa,384.8412937,15336.27322,0,9
Chad,Africa,684.1467374,15336.27322,0,10
Comoros,Africa,1299.437394,15336.27322,0,11
"Congo, Dem. Rep.",Africa,375.7110818,15336.27322,0,12
"Congo, Rep.",Africa,2246.790942,15336.27322,0,13
Cote d'Ivoire,Africa,1734.301256,15336.27322,0,14
Djibouti,Africa,1718.218567,15336.27322,0,15
"Egypt, Arab Rep.",Africa,2395.39589,15336.27322,0,16
Equatorial Guinea,Africa,10132.03346,15336.27322,0,17
Eritrea,Africa,391.7792568,15336.27322,0,18
Eswatini,Africa,3284.03928,15336.27322,0,19
Ethiopia,Africa,462.7828186,15336.27322,0,20
Gabon,Africa,7270.867011,15336.27322,0,21
"Gambia, The",Africa,647.4417909,15336.27322,0,22
Ghana,Africa,1368.366682,15336.27322,0,23
Guinea,Africa,708.9550274,15336.27322,0,24
Guinea-Bissau,Africa,562.3595071,15336.27322,0,25
Kenya,Africa,1180.784939,15336.27322,0,26
Lesotho,Africa,927.7977437,15336.27322,0,27
Liberia,Africa,522.0985607,15336.27322,0,28
Libya,Africa,8982.267028,15336.27322,0,29
Madagascar,Africa,436.9970627,15336.27322,0,30
Malawi,Africa,511.8604023,15336.27322,0,31
Mali,Africa,650.8303766,15336.27322,0,32
Mauritania,Africa,1467.061975,15336.27322,0,33
Mauritius,Africa,7963.230133,15336.27322,0,34
Morocco,Africa,2902.908067,15336.27322,0,35
Mozambique,Africa,486.5743638,15336.27322,0,36
Namibia,Africa,4380.819267,15336.27322,0,37
Niger,Africa,436.5044085,15336.27322,0,38
Nigeria,Africa,1904.23716,15336.27322,0,39
Rwanda,Africa,573.474697,15336.27322,0,40
Sao Tome and Principe,Africa,1389.396233,15336.27322,0,41
Senegal,Africa,1223.460369,15336.27322,0,42
Seychelles,Africa,12562.7817,15336.27322,0,43
Sierra Leone,Africa,423.767818,15336.27322,0,44
Somalia,Africa,499.9448963,15336.27322,0,45
South Africa,Africa,6127.573381,15336.27322,0,46
South Sudan,Africa,1568.006289,15336.27322,0,47
Sudan,Africa,1476.553647,15336.27322,0,48
Tanzania,Africa,741.9791513,15336.27322,0,49
Togo,Africa,705.0468977,15336.27322,0,50
Tunisia,Africa,3551.925127,15336.27322,0,51
Uganda,Africa,630.5046184,15336.27322,0,52
Zambia,Africa,1148.89072,15336.27322,0,53
Zimbabwe,Africa,1013.981196,15336.27322,0,54
Afghanistan,Asia,468.4472708,15336.27322,0,1
Armenia,Asia,3170.642504,15336.27322,0,2
Azerbaijan,Asia,4314.004114,15336.27322,0,3
Bangladesh,Asia,1121.182991,15336.27322,0,4
Bhutan,Asia,2077.687737,15336.27322,0,5
Cambodia,Asia,940.6828962,15336.27322,0,6
China,Asia,5723.95343,15336.27322,0,7
Georgia,Asia,3301.750602,15336.27322,0,8
India,Asia,1313.619308,15336.27322,0,9
Indonesia,Asia,2734.035833,15336.27322,0,10
"Iran, Islamic Rep.",Asia,4483.617503,15336.27322,0,11
Iraq,Asia,3961.439769,15336.27322,0,12
Jordan,Asia,3366.383356,15336.27322,0,13
Kazakhstan,Asia,7756.716484,15336.27322,0,14
"Korea, Dem. People's Rep.",Asia,,15336.27322,0,15
Kyrgyz Republic,Asia,926.4657482,15336.27322,0,16
Lao PDR,Asia,1408.316792,15336.27322,0,17
Lebanon,Asia,6428.061658,15336.27322,0,18
Malaysia,Asia,8350.484552,15336.27322,0,19
Maldives,Asia,7111.797223,15336.27322,0,20
Mongolia,Asia,2768.094464,15336.27322,0,21
Myanmar,Asia,782.9461551,15336.27322,0,22
Nepal,Asia,689.7018879,15336.27322,0,23
Pakistan,Asia,1043.212803,15336.27322,0,24
Philippines,Asia,2285.508981,15336.27322,0,25
Russian Federation,Asia,9423.601384,15336.27322,0,26
Sri Lanka,Asia,2697.326649,15336.27322,0,27
Syrian Arab Republic,Asia,4479.447553,15336.27322,0,28
Tajikistan,Asia,674.0731984,15336.27322,0,29
Thailand,Asia,4841.29996,15336.27322,0,30
Timor-Leste,Asia,1041.765309,15336.27322,0,31
Turkiye,Asia,8875.278193,15336.27322,0,32
Turkmenistan,Asia,4231.381591,15336.27322,0,33
Uzbekistan,Asia,1499.079608,15336.27322,0,34
Vietnam,Asia,1931.480745,15336.27322,0,35
West Bank and Gaza,Asia,2572.453942,15336.27322,0,36
"Yemen, Rep.",Asia,946.4053142,15336.27322,0,37
Bahrain,Asia,21353.86227,15336.27322,1,38
Brunei Darussalam,Asia,30503.81996,15336.27322,1,39
Cyprus,Asia,19240.94603,15336.27322,1,40
"Hong Kong SAR, China",Asia,36063.59099,15336.27322,1,41
Israel,Asia,32918.47736,15336.27322,1,42
Japan,Asia,39133.27349,15336.27322,1,43
"Korea, Rep.",Asia,24257.06548,15336.27322,1,44
Kuwait,Asia,34907.00119,15336.27322,1,45
"Macao SAR, China",Asia,49136.21704,15336.27322,1,46
Oman,Asia,17385.09403,15336.27322,1,47
Qatar,Asia,62886.0314,15336.27322,1,48
Saudi Arabia,Asia,18260.21771,15336.27322,1,49
Singapore,Asia,47859.20427,15336.27322,1,50
United Arab Emirates,Asia,40669.97548,15336.27322,1,51
Albania,Europe,3885.436636,15336.27322,0,1
Armenia,Europe,3170.642504,15336.27322,0,2
Azerbaijan,Europe,4314.004114,15336.27322,0,3
Belarus,Europe,5192.126603,15336.27322,0,4
Bosnia and Herzegovina,Europe,4363.711503,15336.27322,0,5
Bulgaria,Europe,6801.576646,15336.27322,0,6
Croatia,Europe,12550.05162,15336.27322,0,7
Georgia,Europe,3301.750602,15336.27322,0,8
Gibraltar,Europe,,15336.27322,0,9
Hungary,Europe,12880.07742,15336.27322,0,10
Kazakhstan,Europe,7756.716484,15336.27322,0,11
Latvia,Europe,12736.98109,15336.27322,0,12
Lithuania,Europe,13311.113,15336.27322,0,13
Moldova,Europe,2551.215242,15336.27322,0,14
Montenegro,Europe,6144.146621,15336.27322,0,15
North Macedonia,Europe,4473.24575,15336.27322,0,16
Poland,Europe,11741.06039,15336.27322,0,17
Romania,Europe,8449.747044,15336.27322,0,18
Russian Federation,Europe,9423.601384,15336.27322,0,19
Serbia,Europe,5619.36849,15336.27322,0,20
Turkiye,Europe,8875.278193,15336.27322,0,21
Ukraine,Europe,2709.645437,15336.27322,0,22
Andorra,Europe,40671.91966,15336.27322,1,23
Austria,Europe,44062.91445,15336.27322,1,24
Belgium,Europe,41246.33644,15336.27322,1,25
Cyprus,Europe,19240.94603,15336.27322,1,26
Czechia,Europe,18062.21041,15336.27322,1,27
Denmark,Europe,54267.6817,15336.27322,1,28
Estonia,Europe,16270.31439,15336.27322,1,29
Faroe Islands,Europe,48047.71318,15336.27322,1,30
Finland,Europe,43801.86321,15336.27322,1,31
France,Europe,37474.82031,15336.27322,1,32
Germany,Europe,40530.6702,15336.27322,1,33
Greece,Europe,21178.65321,15336.27322,1,34
Iceland,Europe,53638.59566,15336.27322,1,35
Ireland,Europe,59054.14391,15336.27322,1,36
Isle of Man,Europe,62610.02592,15336.27322,1,37
Italy,Europe,32526.11752,15336.27322,1,38
Liechtenstein,Europe,137794.885,15336.27322,1,39
Luxembourg,Europe,100737.3048,15336.27322,1,40
Malta,Europe,22486.88213,15336.27322,1,41
Monaco,Europe,160625.1843,15336.27322,1,42
Netherlands,Europe,46940.13731,15336.27322,1,43
Norway,Europe,77033.14911,15336.27322,1,44
Portugal,Europe,20364.8039,15336.27322,1,45
San Marino,Europe,52595.90878,15336.27322,1,46
Slovak Republic,Europe,15450.76785,15336.27322,1,47
Slovenia,Europe,21742.91573,15336.27322,1,48
Spain,Europe,27161.24422,15336.27322,1,49
