Country Name,Continent Name,Country_Avg_GDP_Per_Capita,World_Avg_GDP_Per_Capita,Above_World_Avg,Continent_Country_ID
Uzbekistan,Asia,1499.079608,15336.27322,0,4
Turkmenistan,Asia,4231.381591,15336.27322,0,5
Turkiye,Asia,8875.278193,15336.27322,0,6
Timor-Leste,Asia,1041.765309,15336.27322,0,7
Thailand,Asia,4841.29996,15336.27322,0,8
Tajikistan,Asia,674.0731984,15336.27322,0,9
Syrian Arab Republic,Asia,4479.447553,15336.27322,0,10
Sri Lanka,Asia,2697.326649,15336.27322,0,11
Russian Federation,Asia,9423.601384,15336.27322,0,12
Philippines,Asia,2285.508981,15336.27322,0,13
Pakistan,Asia,1043.212803,15336.27322,0,14
Nepal,Asia,689.7018879,15336.27322,0,15
Myanmar,Asia,782.9461551,15336.27322,0,16
Mongolia,Asia,2768.094464,15336.27322,0,17
Maldives,Asia,7111.797223,15336.27322,0,18
Malaysia,Asia,8350.484552,15336.27322,0,19
Lebanon,Asia,6428.061658,15336.27322,0,20
Lao PDR,Asia,1408.316792,15336.27322,0,21
Kyrgyz Republic,Asia,926.4657482,15336.27322,0,22
"Korea, Dem. People's Rep.",Asia,,15336.27322,0,23
Kazakhstan,Asia,7756.716484,15336.27322,0,24
Jordan,Asia,3366.383356,15336.27322,0,25
Iraq,Asia,3961.439769,15336.27322,0,26
"Iran, Islamic Rep.",Asia,4483.617503,15336.27322,0,27
Indonesia,Asia,2734.035833,15336.27322,0,28
India,Asia,1313.619308,15336.27322,0,29
Georgia,Asia,3301.750602,15336.27322,0,30
China,Asia,5723.95343,15336.27322,0,31
Cambodia,Asia,940.6828962,15336.27322,0,32
Bhutan,Asia,2077.687737,15336.27322,0,33
Bangladesh,Asia,1121.182991,15336.27322,0,34
Azerbaijan,Asia,4314.004114,15336.27322,0,35
Armenia,Asia,3170.642504,15336.27322,0,36
Afghanistan,Asia,468.4472708,15336.27322,0,37
United Arab Emirates,Asia,40669.97548,15336.27322,1,38
Singapore,Asia,47859.20427,15336.27322,1,39
Saudi Arabia,Asia,18260.21771,15336.27322,1,40
Qatar,Asia,62886.0314,15336.27322,1,41
Oman,Asia,17385.09403,15336.27322,1,42
"Macao SAR, China",Asia,49136.21704,15336.27322,1,43
Kuwait,Asia,34907.00119,15336.27322,1,44
"Korea, Rep.",Asia,24257.06548,15336.27322,1,45
Japan,Asia,39133.27349,15336.27322,1,46
Israel,Asia,32918.47736,15336.27322,1,47
"Hong Kong SAR, China",Asia,36063.59099,15336.27322,1,48
Cyprus,Asia,19240.94603,15336.27322,1,49
Brunei Darussalam,Asia,30503.81996,15336.27322,1,50
Bahrain,Asia,21353.86227,15336.27322,1,51
Zimbabwe,Africa,1013.981196,15336.27322,0,1
Zambia,Africa,1148.89072,15336.27322,0,2
Uganda,Africa,630.5046184,15336.27322,0,3
Tunisia,Africa,3551.925127,15336.27322,0,4
Togo,Africa,705.0468977,15336.27322,0,5
Tanzania,Africa,741.9791513,15336.27322,0,6
Sudan,Africa,1476.553647,15336.27322,0,7
South Sudan,Africa,1568.006289,15336.27322,0,8
South Africa,Africa,6127.573381,15336.27322,0,9
Somalia,Africa,499.9448963,15336.27322,0,10
Sierra Leone,Africa,423.767818,15336.27322,0,11
Seychelles,Africa,12562.7817,15336.27322,0,12
Senegal,Africa,1223.460369,15336.27322,0,13
Sao Tome and Principe,Africa,1389.396233,15336.27322,0,14
Rwanda,Africa,573.474697,15336.27322,0,15
Nigeria,Africa,1904.23716,15336.27322,0,16
Niger,Africa,436.5044085,15336.27322,0,17
Namibia,Africa,4380.819267,15336.27322,0,18
Mozambique,Africa,486.5743638,15336.27322,0,19
Morocco,Africa,2902.908067,15336.27322,0,20
Mauritius,Africa,7963.230133,15336.27322,0,21
Mauritania,Africa,1467.061975,15336.27322,0,22
Mali,Africa,650.8303766,15336.27322,0,23
Malawi,Africa,511.8604023,15336.27322,0,24
Madagascar,Africa,436.9970627,15336.27322,0,25
Libya,Africa,8982.267028,15336.27322,0,26
Liberia,Africa,522.0985607,15336.27322,0,27
Lesotho,Africa,927.7977437,15336.27322,0,28
Kenya,Africa,1180.784939,15336.27322,0,29
Guinea-Bissau,Africa,562.3595071,15336.27322,0,30
Guinea,Africa,708.9550274,15336.27322,0,31
Ghana,Africa,1368.366682,15336.27322,0,32
"Gambia, The",Africa,647.4417909,15336.27322,0,33
Gabon,Africa,7270.867011,15336.27322,0,34
Ethiopia,Africa,462.7828186,15336.27322,0,35
Eswatini,Africa,3284.03928,15336.27322,0,36
Eritrea,Africa,391.7792568,15336.27322,0,37
Equatorial Guinea,Africa,10132.03346,15336.27322,0,38
"Egypt, Arab Rep.",Africa,2395.39589,15336.27322,0,39
Djibouti,Africa,1718.218567,15336.27322,0,40
Cote d'Ivoire,Africa,1734.301256,15336.27322,0,41
"Congo, Rep.",Africa,2246.790942,15336.27322,0,42
"Congo, Dem. Rep.",Africa,375.7110818,15336.27322,0,43
Comoros,Africa,1299.437394,15336.27322,0,44
Chad,Africa,684.1467374,15336.27322,0,45
Central African Republic,Africa,384.8412937,15336.27322,0,46
Cameroon,Africa,1328.84033,15336.27322,0,47
Cabo Verde,Africa,3005.874216,15336.27322,0,48
Burundi,Africa,201.1422712,15336.27322,0,49
Burkina Faso,Africa,606.403366,15336.27322,0,50
Botswana,Africa,5684.349961,15336.27322,0,51
Benin,Africa,997.7519129,15336.27322,0,52
Angola,Africa,2620.868878,15336.27322,0,53
Algeria,Africa,3824.243132,15336.27322,0,54
